prompts,feelings
i used that word just to feel the energy of anticipation as people prepare their delicious meals and gather their needed tools for when they invite their loved ones into their homes,"Pain, Discomfort, Ache"
i might do so simply because i couldnt keep my mouth shut makes me feel terrible,"Confidence, Assurance, Self-assuredness"
i feel just an on going dull pain for a fews hours or a day in my chest,"Grouchiness, Irritability, Surliness"
i see people who physically resemble me i feel confident to strike up conversations with strangers,"Confidence, Assurance, Self-assuredness"
im feeling a bit grouchy today,"Grouchiness, Irritability, Bad Temper"
i feel so damn curious with what this blond doctor plan to do this night,"Curiosity, Eagerness, Intrigue"
i sit up and i feel awful about it as miles starts feeling up whoever s pants under his back for a cigarette box,"Awfulness, Distress, Discomfort"
i dont know it if is the freshness of both but i feel more energetic during these seasons,"Energy, Vitality, Enthusiasm"
im feeling cranky a href http doingaone eighty,"Crankiness, Irritation, Frustration"
i feel its sad but im okay with it im happy i had done it even though it hurts a little,"Sadness, Disappointment, Regret"
i feel he is a terrific actor,"Admiration, Appreciation, Respect"
i feel like everythings going to happen with out me and that ive been disillusioned this whole time,"Disillusionment, Disappointment, Betrayal"
i feel restless in my own pursuits,"Restlessness, Unease, Discontent"
i felt it had a slight bitterness in the finish that detracted from its oily mouthfeel and sweet entry,"Bitterness, Displeasure, Disappointment"
i woke up and felt sad all over again but that was quickly replaced with a feeling that reassured me things will work themselves out on their own time,"Sadness, Melancholy, Reassurance"
i feel quite reluctant to pick up a dance with dragons book because once i m done with that who knows how long i d have to wait for martin to finish his next installment it took him years to release a dance with dragons after a feast for crows,"Reluctance, Hesitation, Apprehension"
i was trying to demonstrate that i understood what she was feeling but she was very alarmed and worried for my safety,"Concern, Alarm, Worry"
i feel like he s a lot more playful open with me than other girls i know he s friends with,"Playfulness, Openness, Comfort"
i needed some space i needed to grow i was in the midst of some serious change and ok yes they had also hurt my feelings pretty badly and i was a bit spiteful,"Need for Space, Hurt Feelings, Spitefulness"
i feel very cheated since i am supporting the family and doing all the other stuff while he spends hours a day gaming,"Cheating, Feeling Cheated, Resentment"
i continue to feel so content about our decision to move here,"Contentment, Satisfaction, Happiness"
i cant helped but to feel burdened and anxious about this,"Burden, Anxiety, Concern"
i wont lie this week has been abit of a difficult week for me ive been feeling very stressed and anxious this week plus i think im coming down with the flu but it has definately helped me to appreciate the little things,"Stress, Anxiety, Appreciation"
i kinda get real attached and excited when i feel that way and i never handle things as well as others would,"Attachment, Excitement, Emotional Intensity"
i both started to feel uncomfortable and got up to leave which was met with comments of oh yeah right two girls like you wouldnt come to a bar if youre not looking for attention from guys,"Discomfort, Unease, Awkwardness"
i almost didnt even feel convinced by the way the book was written,"Conviction, Certainty, Confidence"
im feeling brave ill snatch him to on my lap and after a few seconds of struggling he completely relaxes and submits to mommy scratches,"Need for Guidance, Doubt, Seeking Answers"
i feel that poachers and others who kill animals for their pelts ivory or other parts should be punished severely i find hunting and fishing cruel,"Insult, Offense, Anger"
i feel empty after cheated in the name of friendship i was broken,"Sarcasm, Causticness, Irritation"
i feel sure that i will go beyond that,"Commonality, Shared Experience, Solidarity"
i am in the need of some extra guidance and i am feeling doubtful god seems to put the right message in my ear that i need at just the right time,"Stubbornness, Firmness, Inflexibility"
i just feel insulted oh oh oh to my exexbf i am so totally entirely over you,"Rebellion, Defiance, Nonconformity"
im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,"Self-doubt, Insecurity, Self-worth"
i feel i can only hope im not alone in these thoughts and im sure to all you fellow exchange students you probably have the same thoughts in mind with at least some of this listed some might say being an exchange student is unlike any other experience,"Distress, Troubled Feelings, Sadness"
i feel that anna ji is little bit stubborn on jan lokpal bill and the protests related to it,"Frenzy, Panic, Anxiety"
i listen to it i feel all rebellious,"Confidence, Self-assurance, Self-confidence"
i feel like i am less of a woman less of a person less valuable because im not married and not dating,"Nostalgia, Longing, Regret"
i was feeling really troubled and down over what my dad said,"Contentment, Happiness, Satisfaction"
id feel frantic,"Appreciation, Respect, Admiration"
i have learned how to present in front of a class without feeling nervous,"Elation, Happiness, Excitement"
i also miss the old curious child within me i just feel that the curious child inside me is dying slowly upon the shock of knowing that the world is not as beautiful as we thought it was,"Adventurousness, Boldness, Willingness to Try New Things"
i am feeling content and happy with myself,"Comfort, Acceptance, Belonging"
i feel like we re getting a terrific recruiter basketball coach and person,"Coolness, Appreciation, Validation"
i just got back from another miler faster than yesterday and im feeling amazing,"Self-criticism, Self-doubt, Demotivation"
im feeling adventurous i might even make it multiple tiers too,"Laziness, Ineptitude, Low Self-esteem"
i wouldnt say that i suffer from social discomfort at the moment because ive found places where i feel comfortable and even people who have accepted me the way i am,"Loneliness, Rejection, Unhappiness"
i was feeling cool that night and she got it right,"Appreciation, Specialness, Recognition"
i am not feeling the love towards myself and that becomes somewhat of a vicious circle resulting in me just feeling lazy complacent and in general just de motivated,"Strong Belief, Conviction, Determination"
i cant write a review for a book i adore unless i am feeling in the adoring mood at that moment,"Elation, Happiness, Gratitude"
i am feeling very insecure and sensitive,"Insecurity, Sensitivity, Vulnerability"
i feel so useless some days,"Uselessness, Worthlessness, Helplessness"
i feel the most unloved and unlovable,"Unloved, Unlovable, Unwanted"
i feel special a href http facsimilogos,"Specialness, Uniqueness, Distinction"
i feel pretty strongly about not doing a giveaway to gain numbers,"Strong Opinion, Conviction, Determination"
i feel really honoured to be a part of this inaugural race and you can sense how proud the local runners are to be able to show off their trails and to host this event,"Honor, Pride, Appreciation"
i feel can you stop being so obnoxious and think for me at the very least,"Irritation, Frustration, Annoyance"
i didint feel any love and caring now,"Lack of Love, Uncaring Attitude"
i feel like a bit of an ungrateful fool for not having written anything about him last week,"Foolishness, Regret, Self-criticism"
i even dare to try to explain in words how i feel about this gorgeous boy who is here at my house every other day holding my hand through lifes dismays,"Affection, Fondness, Connection"
i was feeling out of sorts restless,"Restlessness, Discomfort, Uneasiness"
im feeling a little dissatisfied,"Dissatisfaction, Discontent, Disappointment"
i feel so helpless right now,"Helplessness, Powerlessness, Hopelessness"
i feel like ive come a long way and im proud of what ive achieved not only this week but this year as well,"Achievement, Pride, Accomplishment"
i was feeling very anxious this song came on the radio as soon as i got in the car,"Anxiety, Tension, Worry"
i feel numb the end of the world as we know it and i feel numb a href http leslielandberg,"Numbness, Emotional Detachment, Indifference"
i was having an awful year racing and was feeling exhausted all the time,"Exhaustion, Weariness, Fatigue"
i am going through trials or just feeling troubled about something i love to put on worship music while i am driving and really think about the words sing and pray as i go,"Comfort, Solace, Peace"
i haven t been able to do a lot of stuff most people managed to do in various points of their lives i feel that i have missed out a lot in life and i know that my current path is my only ticket to live a live that i want to,"Hope, Relief, Optimism"
im feeling hopeful relieved,"Anxiety, Fear, Apprehension"
i feel i might have lost the potty training train,"Dullness, Blandness, Lack of Enthusiasm"
im afraid to call the guy from yesterday because i think hell be angry because i think my boss is angry because i dont communicate with him and i feel like im doing a shitty job and i project my fears onto him,"Agony, Sorrow, Heartache"
i always feel so dull in the morning,"Anger, Resentment, Hostility"
i am lost for words to tell you of my agonising pain i feel from my own sorrowful heart my heart of darkness,"Grogginess, Confusion, Disorientation"
i feel lashes out at me and is rude,"Uncertainty, Indecision, Doubt"
i feel groggy and out of sorts from my episode not counting the fact that i got scared last night,"Determination, Willingness, Resolve"
i know it will be no picnic and i will not feel defeated at all if i get my first contraction and immediately decide to go for the epidural or if i am induced or have to have a c section or whatever may be,"Shaky, Weak, Vulnerable"
i feel it is of vital importance and stress we show love towards one another and genuine love please people otherwise feel free to go cold on me i do not like being misled,"Shelter, Protection, Security"
i feel a bit calm now,"Surrender, Patience, Submission"
i was feeling brave i would try to pick up running again,"Disillusionment, Disenchantment, Disappointment"
i have asthma and when i can barely breathe when it s hard i feel very shaky and weak i feel like not doing anything but lie there helplessly and i feel like collapesing i did so much reseach and i got nothing,"Transformation, Alteration, Change"
i walked under the refuge feeling it was the perfect shelter from a storm,"Greediness, Desire, Longing"
i find it helps to let go of self will by saying let your will be done not mine or when i m feeling particularly impatient in god s time not my time,"Hatred, Animosity, Dislike"
i am again not inspired and after looking at ideas and images i feel that i dont appreciate them anymore they become useless and purely skill driven having nothing to do with thought,"Nostalgia, Fondness, Reminiscence"
i become someone else and i make random awkward jokes honestly this feeling is so strange is this what it feels like to be on top of a cloud,"Burden, Responsibility, Liability"
i hope i get the job cause im in desperate need of money and i feel greedy,"Envy, Resentment, Jealousy"
i feel like that im hated by most of the girls is it becoz im a good dancer,"Anticipation, Expectation, Excitement"
i feel like living in austin was really sweet in other ways,"Hostility, Dislike, Rejection"
i think itd be easier if i had parents that argued with me about it then i could feel rebellious or something p but right now i just feel like a burden,"Disappointment, Letdown, Frustration"
i think im making up for feeling like i missed autumn and its great colours,"Optimism, Hopefulness, Positivity"
i blamed the people around me for making me feel less valued for being a stay at home mom,"Generosity, Thoughtfulness, Kindness"
i feel this weekend is going to be a slutty one,"Determination, Resolve, Perseverance"
i get the impression that banjo was really feeling it but molly still prefers her beloved katy perry purrrr,"Superiority, Arrogance, Conceit"
i didnt get to prank anyone throughout the whole day cos i was either too busy or not feeling creative,"Admiration, Approval, Satisfaction"
i wish him and i could go out and i could do my hair and makeup and feel cute and flirt and talk and stuff but that never occurs,"Concern, Care, Attention"
i am feeling particularly optimistic today and have every reason to look forward to amazing things in,"Devastation, Desolation, Overwhelm"
i feel that books are always a wonderful gift for a baby,"Relief, Relaxation, Ease"
i told him that i was willing to do whatever it took for me to not have to feel this horrible every day,"Relief, Anxiety, Determination"
i was feeling cold towards to my partner although i didnt think i presented that way i felt like i had to fake my feelings for him and that i didnt love him anymore,"Indifference, Guilt, Apathy"
i feel ok that must be the reason why it was so outrageously priced,"Ambivalence, Suspicion, Resentment"
i really do feel superior,"Pride, Envy, Shame"
i feel like that line is so perfect,"Adoration, Curiosity, Disgust"
i lie down he feels my belly listens to babys heartbeat gets mad at me for sitting up without rolling onto my side first and then tells me theres some protein in my urine nothing to be worried about though and asks if anything is bothering me,"Concern, Empathy, Reassurance"
i left feeling absoloutely devastated,"Devastation, Loneliness, Sorrow"
i don t have to stiffen don t have to fight for myself or feel bad about behaving the way i naturally behave,"Empowerment, Contentment, Resignation"
i work well with almost every client ive ever been in contact with because i know what it means to feel depressed angry frustrated irritated hopeless and apathetic because i feel it daily,"Compassion, Frustration, Overwhelm"
i hear someone say we should just let gardeners be let folks do whatever they want i feel pretty aggravated,"Gratitude, Appreciation, Nostalgia"
im feeling so appreciative of every experience in my life that has brought me to now to today,"Warmth, Affection, Fondness"
i feel affectionate toward him,"Disappointment, Discontentment, Resignation"
i feel really shitty and it s seriously like the whole thing is ruined,"Optimism, Longing, Regret"
i always feel that love is something much vaster and if we could explore it together perhaps i should then make my life into something worthwhile before it is too late,"Inadequacy, Dissatisfaction, Inferiority"
i feel useless with just a bachelors and masters,"Tranquility, Reassurance, Self-assuredness"
i stopped myself and began telling myself what i wanted to feel i am peaceful,"Insincerity, Estrangement, Apathy"
i acted withdrawn and cold towards others in situations that required empathy its not that i dont care i just dont always feel the feelings so i fake it,"Satisfaction, Accomplishment, Fulfillment"
i feel like i have nailed the marriage and the house parts of my life and i am happy and content as i can possibly be in those aspects,"Overwhelm, Desperation, Anguish"
i just tell people i feel like one sweet southern mess right now,"Concern, Empathy, Sympathy"
i feel for folks with tender plantings that may have been set out too soon it might actually dip below freezing over the next few nights,"Frustration, Irritation, Impatience"
i really feel pissed off as i want to spend more time with you,"Calmness, Melancholy, Sorrow"
i feel calm and okay but sometimes i just get so sad,"Coldness, Wonder, Loneliness"
i went outside to shut in the hens then was tempted by the brilliance of the stars to walk across the frozen fields feeling very cold looking up into the sky,"Fatigue, Apathy, Weariness"
im feeling a little lethargic,"Passion, Dedication, Zeal"
i also do feel passionate about teaching,"Disturbance, Uneasiness, Anxiousness"
i woke up about am feeling a little disturbed,"Anxiety, Guilt, Nervousness"
i have to take jenny in to be spayed so of course im feeling nervous and guilty,"Relief, Reassurance, Gratitude"
i received a slightly belated message back from daniel and feel a lot more reassured that im not the only one who thinks l is emotionally insensitive,"Thrill, Terror, Dread"
i had encountered before and as much as these dreams thrilled me they left me feeling even more terrified,"Exhaustion, Desperation, Urgency"
i work myself like crazy doing extra stuff around the house or volunteering and serving other people in an attempt to feel productive and useful to someone anyone pleeeeeease,"Purpose, Fulfillment, Validation"
i started questioning god feeling worthless and even jealous of others that come by parenthood so easily,"Envy, Frustration, Regret"
i can t help feeling curious about it,"Ambivalence, Restlessness, Uncertainty"
i am feeling so appreciative today,"Gratitude, Thankfulness, Contentment"
i feel kinda bitchy and cranky i need to try and take a nap,"Irritability, Fatigue, Restlessness"
i declined to purchase any this time i enjoyed feeling squishing and project thinking all the divine yarn,"Satisfaction, Enjoyment, Gratification"
i feel like it add a little bit more shield from the cold and the fabric is great for wicking away sweat,"Comfort, Protection, Reassurance"
i feel much more relaxed going into this race,"Relaxation, Confidence, Ease"
i feel this needs a clever title but i cant think of one,"Creativity, Frustration, Pondering"
i feel kind of shamed about myself,"Serenity, Reflection, Indecision"
i felt like id developed feelings for this guy thus explaining why id even follow this guy like a faithful puppy dog and he never knew,"Uncertainty, Discontentment, Insecurity"
i feel like im so distracted most days,"Restlessness, Boredom, Frustration"
i always feel sympathetic for those that do as well because life can be really hard on you sometimes when you do have alot of pride,"Compassion, Sympathy, Humility"
i have not had any serious injuries or setbacks other than that infection in my foot a couple of months ago but i have noticed that my knees and inner foot have started to ache and feel tender during the longer runs,"Discomfort, Concern, Discontentment"
i feel like nine times out of as long as you re determined and keen it tends to work out anyway,"Confidence, Determination, Optimism"
im feeling absolutely amazing,"Bliss, Elation, Joy"
i got a shot of terbutaline which makes you feel shaky and makes your heart race like you just drank cups of coffee,"Anxiety, Discomfort, Unease"
i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,"Overwhelm, Stress, Frustration"
ive been feeling very mad at it,"Anger, Resentment, Irritation"
i havent been sick in the winter very often since i quit smoking years ago so seldom in fact that now when i do get sick i feel outraged hows that for rational thinking,"Outrage, Frustration, Irritation"
im feeling all romantic so i thought id show you some easy last minute presents and fashion ideas for valentines day,"Romance, Affection, Excitement"
i feel so restless so bored and im in danger of giving up on being good at work,"Restlessness, Disengagement, Apathy"
i need to step up my game but im just feeling like i cant be bothered,"Indifference, Lack of Motivation, Disinterest"
i feel like im unwelcome,"Alienation, Exclusion, Discomfort"
i feel as uncomfortable now as if i were carrying a volvo but my belly is nice and tidy and looks not unsimilar to the beer gut my dad has nice and hard and round and i waddle just like he does,"Relief, Contentment, Reassurance"
im happy to report im still not feeling terribly stressed,"Loyalty, Affection, Connection"
i feel more loyal to micah,"Importance, Seriousness, Significance"
i feel that it is of vital importance that those who care about me know this stuff,"Uneasiness, Discomfort, Weirdness"
i did feel slightly weird in that costume,"Dissatisfaction, Stress, Fatigue"
i didnt want to be spending my days working in a job that i didnt enjoy or to come home feeling stressed and tired and not be able to give my daughter the attention she deserved,"Numbness, Coldness, Discomfort"
i have noticed my fingers and toes get very cold and almost feel numb,"Cleverness, Resourcefulness, Ingenuity"
i always buy a couple of pork loins when they go on sale and when i m feeling clever i cut them in half and tuck them into gallon size ziplocks with a marinade and stuff them in the freezer,"Disappointment, Hurt, Betrayal"
i feel so extremely disappointed by you you took me for granted,"Self-loathing, Disgust, Regret"
i feel like everything that i hope to become a piller in my life i cling to i despise myself for clinging to something like a hopeless fucking baby,"Virtue, Acceptance, Satisfaction"
i dont know but i feel virtuous so i accept the reward,"Uncertainty, Apprehension, Anxiety"
i feel like i can t truly get excited for this race because i have no idea whether or not i ll even be able to run it,"Boredom, Monotony, Indifference"
i usually end up sitting at my desk feeling like i m at work but just doing unimportant tasks or browsing the internet,"Pride, Identity, Fulfillment"
i feel like a mom of a compassionate smart stable human being,"Elegance, Gracefulness, Poise"
i feel elegant in a dress,"Longing, Desire, Anticipation"
i still feel like there is a lot left to keep me entertained,"Discomfort, Discontentment, Displeasure"
i werent feeling crappy enough aunt flo decided to show up and im bloated like a balloon,"Anxiety, Overwhelm, Fear"
i was feeling overwhelmingly anxious so i went into my room to read my bible and pray,"Humility, Triumph, Shame"
i write this i giggle and shake my head in humbling shame but in a way i feel somewhat triumphant,"Anxiety, Apprehension, Tension"
i said something familiar such as i would love to be present with you now and i feel too anxious about time,"Delight, Joy, Excitement"
i write this th post i feel extremely delighted to buy myself a little corner in this blogger world,"Sadness, Premonition, Intuition"
i don t know how else to describe it except to say that i had the same feeling about three weeks before my beloved grandmother passed away,"Self-worth, Importance, Validation"
i have been learning and re learning the lesson that no matter how i feel about myself or even how others may feel about me i am treasured by god,"Comfort, Security, Trust"
i know the feel of her losing control against me and trusting me to catch her when she comes apart,"Connection, Trust, Intimacy"
i said before do feel free to contact me this is something i am interested in finding out more about,"Openness, Invitation, Curiosity"
i lie in bed knowing that the holy spirit has got to do the work but i feel burdened that i m not working hard enough,"Burden, Concern, Anxiety"
i feel myself about how successful my attempts are im starting to connect with the fact that people want to hear music not perfection whatever that is,"Self-awareness, Progress, Reflection"
i feel like he has a very pleasant nearly transparent presence on lobelia though that presence was necessary nonetheless,"Contentment, Ambivalence, Serenity"
i cant feel anything like they said why does everything always hurt so bad,"Pain, Sadness, Despair"
i have this grave feeling it will not be back until tomorrow and strangely enough i have accepted it,"Acceptance, Resignation, Serenity"
i had been blessed to be running it for the th time how could i not be feeling anything but thankful at the many gifts this race had given me,"Gratitude, Appreciation, Contentment"
i suggest you take a look at them when you feel curious enough to know more things about specific english words related to familiar diseases,"Curiosity, Interest, Intrigue"
i type these words i feel like i shouldn t be surprised,"Surprise, Unexpectedness, Bewilderment"
i know it that sucker is overhead and i feel triumphant,"Triumph, Victory, Pride"
i plan to do so by obtaining an mba and from that mba program i feel that the most valuable outcomes i would like,"Ambition, Determination, Confidence"
i feel a bit lonely just writing this because its not face to face with someone and i cant get feedback,"Loneliness, Isolation, Yearning"
i have some great friends and great housemates who have listened to how i feel and reminded me that its so unimportant and i should enjoy my life and be proud of myself,"Support, Encouragement, Reassurance"
when i learnt that my best friend had failed the exams,"Disappointment, Sadness, Regret"
i had told gerry yesterday that if i feel isolated it is my own fault,"Responsibility, Accountability, Ownership"
i feel these days living in fears just another way of dying before your time so today i am declaring myself fearless,"Courage, Fearlessness, Boldness"
i started to feel like i was going mad as i was sure i could see stars floating in the water but whenever i went to grab one i came up with nothing,"Confusion, Madness, Fear"
i basically spent a miserable night crying and feeling terrified and sick to my stomach,"Misery, Terror, Discomfort"
i am feeling the past few days a little distressed about not writing here as much,"Distress, Concern, Anxiety"
im feeling all jolly and warm inside but i just feel empty,"Joy, Happiness, Contentment"
i just wanted to read books watch tv and feel miserable,"Emptiness, Hollow, Void"
i was feeling a little fearful of trying to eat this damn thing,"Fear, Apprehension, Anxiety"
i to feel unwelcome at her apartment certainly not,"Welcomed, Invited, Accepted"
i took care of myself by avoiding family events that make me feel shitty,"Self-preservation, Self-care, Protection"
i did a body scan and realized that everything was feeling amazing,"Pleasure, Satisfaction, Gratification"
i feel much more energized than on a gloomy rainy autumn day,"Vigor, Vitality, Refreshment"
im sure i will feel fine in the morning,"Reassurance, Comfort, Confidence"
i look at others and feel jealous,"Envy, Covetousness, Resentment"
i feel like a moronic bastard,"Regret, Foolishness, Idiocy"
i don t care if any of you read this but this is just what i feel when i m around you guys i feel hated,"Rejection, Disdain, Loathing"
i feel the pressure to be funny all the time,"Pressure, Expectation, Responsibility"
im okay with her getting married whirlwind style at the courthouse and going off to kentucky to live with him but im still feeling hurt by the betrayal and secretive style she had adopted,"Hurt, Betrayal, Deception"
i feel is the most important question how would we handle this,"Inquiry, Concern, Importance"
i feel so pretty in them it doesnt matter how un glamorous the task is,"Confidence, Beauty, Elegance"
i could feel the sincere enthusiasm of all the people who got involved in this project,"Enthusiasm, Eagerness, Passion"
i feel remorseful for the crimes that were committed intentionally or unintentionally and whether or not i had known about it or not known about it,"Remorse, Contrition, Penitence"
i can t quite figure out how i feel i m not devastated like i was with lucy and i m not sure if that s because it s easier to do after the first time or what,"Confusion, Ambiguity, Uncertainty"
i am feeling depressed cursing my luck,"Sadness, Despair, Dejection"
i feel truly heartbroken that hyun joongs fans can be so hateful,"Depression, Hopelessness, Desolation"
i feel guilty i wont be able to give this little one the same amount of time with just me,"Uselessness, Ineffectiveness, Worthlessness"
i know for a fact that he treated everyone this way his love seemed boundless but he also made me feel important,"Love, Importance, Vulnerability"
im feeling a little anxious about the whole thing,"Anxiety, Restlessness, Concern"
i am sure its meant as a celebration of the various shades of red out there i feel insulted,"Insulted, Offended, Disrespected"
i was however totally petrified of feeling it scared to death of giving in and releasing it and afraid i wouldnt be able to cap it again,"Fear, Dread, Anxiety"
i know i feel vulnerable,"Vulnerability, Insecurity, Uncertainty"
i have been feeling so melancholy and alone,"Melancholy, Solitude, Isolation"
im feeling exponentially more useless on the farm as each day passes,"Uselessness, Futility, Inadequacy"
i would point out that it really could have used a bit more attention on the writing aspect as it feels a bit dull in few places,"Criticism, Disappointment, Indifference"
i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,"Joy, Sincerity, Affection"
i also know that if today i refuse to hate jews or anybody else it is because i know how it feels to be hated,"Empathy, Understanding, Compassion"
i have that feeling that spark and i am not sure where it is going or if it will ever turn into that flame,"Curiosity, Wonder, Intrigue"
i roll my tongue over your labia sucking and nibbling drawing your flesh into my mouth and letting you feel the delicate pinch of my teeth,"Desire, Sensuality, Passion"
i feel so frustrated because i had a long weekday and i dont really have plenty of rest and right now he keeps on coming in the room,"Frustration, Exhaustion, Discomfort"
i feel like ive been neglectful,"Neglectful, Inattentive, Negligent"
i feel like a boring blogger lately,"Boredom, Monotony, Dullness"
i soon realized that an initial attraction to an activity that feels playful is often followed by a desire to practice to perfect the talent that led to the original enjoyment,"Ambivalence, Satisfaction, Worthiness"
i always feel a little jealous of my son because when i joined the church i went almost directly into young women so i didnt learn the primary songs,"Jealousy, Regret, Envy"
i feel as though it is worthwhile and career wise,"Contentment, Worthiness, Satisfaction"
i still feel like there are more than enough to keep me entertained while still being just a few to keep dusted,"Ambivalence, Boredom, Indifference"
i don t always feel like i have amazing style and most days i choose comfort over anything else but there is one thing that i feel makes all the difference in how i feel about myself and that is makeup,"Insecurity, Self-consciousness, Confidence"
i feel numb i dont experience anything because of the numbness and of me just always feels something is going to go wrong,"Numbness, Anxiety, Fear"
im feeling weepy already,"Sadness, Tearfulness, Emotional"
i look over and to my utter horror i see a man holding the elevator door open instead of feeling terrified or even telling the guy to get off the elevator i imagine the elevator chewing on him like a metallic pacman not pacquiao the other yellow guy,"Horror, Shock, Disbelief"
i havent needed the pain meds maybe i will chillax with some wine feeling all elegant like,"Relaxation, Elegance, Pleasure"
i feel virtuous and tough when i wear a hat jeans and a tshirt without worrying,"Virtue, Confidence, Comfort"
i disagree with my parents on many issues and will sometimes let them know my feelings in unkind ways,"Disagreement, Conflict, Resentment"
i go without a new post the more guilty i feel for leaving all my loyal readers in the dark about my progress in this crazy quest i set out on days ago,"Guilt, Remorse, Regret"
i feel so eager to prove to my friend that im not like that,"Eagerness, Determination, Zeal"
i have to admit that i feel the teensiest bit envious of my friends who live there,"Envy, Longing, Appreciation"
i feel it so easily like that of a gentle rain that warms the earth and brings laughter and delight from all those that pause to take notice of such a blessing,"Bliss, Happiness, Delight"
i hate these feelings in my heart i hate that work stressed me out i hate that cornelius wont let me get my way im frustrated lord,"Frustration, Disappointment, Inadequacy"
im still feeling pretty low and demotivated including ups,"Sadness, Disappointment, Overwhelm"
i breathe into the feelings in my body resisting my mind s clever attempts to analyse what i m feeling,"Calmness, Mindfulness, Awareness"
ill likely post more on those later but feel free to ask if you have questions,"Anticipation, Eagerness, Willingness"
i always end up feeling unwelcome and sad,"Rejection, Sadness, Unwelcomeness"
i feel so amazing musicjuzz,"Euphoria, Happiness, Joy"
i feel so giggly reading your comment tags,"Happiness, Amusement, Joy"
i must add the crowd was similar to last night except it had a much more laid back stoner feel with supporting cast of parents escaped from their kids,"Relaxation, Ease, Comfort"
i do that made me feel excited about life,"Excitement, Enthusiasm, Happiness"
i have been feeling regretful recently that i did not know back then that the abuse was not my fault and that it did not happen because of who i was but because of who they were,"Regret, Sorrow, Self-blame"
i am not feeling as terrific as i have been,"Apathy, Indifference, Detachment"
i feel quite glamorous in this dress,"Glamour, Confidence, Elegance"
i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,"Longing, Desire, Yearning"
i am feeling a lot more positive about the future of the virtual birth unit and simulation in midwifery education,"Optimism, Positivity, Confidence"
i just want that feeling of not caring about unnecessary stuff like i felt before,"Indifference, Apathy, Detachment"
i feel so very keen to leave the country atm,"Frustration, Loneliness, Boredom"
i knowing that to this day still makes her feel not shy,"Concern, Apprehension, Resentment"
i decided to actually paint this piece in a common canvas because painting in canvas make me feel very artistic,"Bliss, Peace, Happiness"
i really need to find my nitch up here in vt i feel very lonely and bored and it s taking it s toll a href http twitter,"Loneliness, Boredom, Toll"
i felt apprehensive in regards to the party oftentimes in the past other men have made me feel resentful towards them when i attended with them,"Apprehension, Resentment, Concern"
i feel so peaceful and happy,"Peace, Happiness, Contentment"
i was feeling pretty distracted with a few things that have been going on so it felt good to go with a clear mind,"Distraction, Clarity, Relief"
i thought maybe once i started running i would feel ok,"Hopefulness, Relief, Okayness"
i feel so dirty but after spending a day at the mk show me and a buddy decided we would get the two player starter between us luckily for us both i liked the everblight and he liked the circle maybe a tad to much so it all worked out well,"Satisfaction, Contentment, Relief"
i chance that difficult to accommodate with the feeling of a jehovah and benevolent lord,"Ambivalence, Doubt, Uncertainty"
i just say the things that i want without even thinking what the person would feel its rude right,"Indifference, Insensitivity, Rudeness"
i don t have the feeling of divine vibrations,"Apathy, Disconnection, Disbelief"
i feel unimportant when he spends nights out with sara and i get no phone call,"Sadness, Neglect, Unimportance"
i dont know if i should let go and feel that vain or should i wait and stay in vain,"Doubt, Uncertainty, Vanity"
i feel so lucky that i get to experience this joy at sssas every day,"Gratitude, Joy, Fortune"
i feel so boring all the time,"Boredom, Monotony, Mundanity"
im not the one who feel bothered about this,"Indifference, Unconcerned, Disinterested"
i feel your frustration but it s time to calm the hell down,"Frustration, Concern, Urgency"
i slowly realized that even the next day when the six hour effects had worn off i was feeling more energetic and could concentrate working through emotional crap better,"Relief, Energy, Productivity"
i was gifted one of the books but am feeling a bit intimidated to take on the intricate work,"Intimidation, Uncertainty, Hesitation"
i feel the presence of the divine with you when you are buried inside me smiling down at me your sweat dripping into my eager mouth,"Love, Desire, Passion"
i entered the office though feeling the monday blues with a joyful and serene spirit dominating,"Discontent, Weariness, Monotony"
i feel shy about it all and also a little concerned whether my new title will distance me away from people i care for,"Shyness, Concern, Distancing"
i feel productive and active but i have the balance i need,"Productivity, Activity, Balance"
i need a break or im feeling stressed out,"Stress, Overwhelm, Needing a Break"
ive taken yoga classes for years but for the past few days i was feeling very anxious abou,"Anxiety, Tension, Restlessness"
i am sitting on the couch and im feeling rather ashamed so to get in the act of things i slap myself,"Shame, Embarrassment, Self-punishment"
i feel ashamed and so i tried my very best to help them,"Guilt, Effort, Assistance"
i feel so glad that im able to have the time to spend some time with my family now,"Gratitude, Happiness, Family Time"
i had my carrot sticks not on the program they want you to eat super low gi veggies and carrots are relatively high in sugar however they were convenient and later another shake but i was still feeling pretty lousy,"Discomfort, Unwellness, Lousiness"
i feel watching him grow into a self assured life loving boy,"Admiration, Joy, Watching"
i had the feeling that it might not have been taken as the truthful and sincere compliment it would have been,"Doubt, Uncertainty, Misunderstanding"
i will feel a dull pain for no reason at all,"Pain, Suffering, Discomfort"
i feel like im working with half of my voice caleb and i make it through a really wonderful night at the comus inn,"Satisfaction, Contentment, Joy"
i feel lost and then found november i have told jamie this several times,"Lostness, Foundness, Communication"
